userid,orderType
100000000371,0.013605442176870748
100000001215,0.04081632653061224
100000001445,0.05442176870748299
100000001575,0.8843537414965986
100000001601,0.15192743764172337
100000001737,0.7142857142857143
100000001829,0.11904761904761904
100000002055,0.047619047619047616
100000002241,0.1292517006802721
100000003067,0.013605442176870748
100000004161,0.7573696145124716
100000004307,0.006802721088435374
100000004855,0.7687074829931972
100000005055,0.05668934240362812
100000005701,0.14058956916099774
100000006247,0.08163265306122448
100000006327,0.17233560090702948
100000006333,0.07029478458049887
100000006397,0.07709750566893424
100000007397,0.4875283446712018
100000007525,0.2789115646258503
100000007951,0.05139833711262282
100000007955,0.07256235827664399
100000008131,0.05215419501133787
100000008427,0.15873015873015872
100000008745,0.09977324263038549
100000009049,0.09977324263038549
100000009197,0.1995651531786808
100000009419,0.047619047619047616
100000009629,0.04081632653061224
100000009961,0.7551020408163265
100000010157,0.8117913832199547
100000011403,0.013605442176870748
100000012993,0.09750566893424037
100000013089,0.2675736961451247
100000013205,0.15419501133786848
100000013455,0.07936507936507936
100000013591,0.10204081632653061
100000013861,0.2018140589569161
100000014191,0.272108843537415
100000014963,0.15873015873015872
100000015053,0.034013605442176874
100000015077,0.909297052154195
100000015351,0.10884353741496598
100000015659,0.8435374149659864
100000016411,0.015873015873015872
100000016637,0.018140589569160998
100000016665,0.07482993197278912
100000016715,0.05668934240362812
100000016843,0.06349206349206349
100000017191,0.006802721088435374
100000017255,0.12018140589569161
100000017517,0.14965986394557823
100000017533,0.12471655328798185
100000018131,0.6984126984126984
100000018141,0.1655328798185941
100000018219,0.024943310657596373
100000018439,0.08616780045351474
100000018651,0.0045351473922902496
100000018843,0.05895691609977324
100000019085,0.12018140589569161
100000019503,0.0009525574576594987
100000019777,0.05442176870748299
100000019831,0.061224489795918366
100000019875,0.10884353741496598
100000020599,0.19727891156462585
100000020705,0.4036281179138322
100000020839,0.05668934240362812
100000021007,0.1473922902494331
100000021741,0.15419501133786848
100000023031,0.14058956916099774
100000023341,0.10430839002267574
100000023847,0.02040816326530612
110020671228,0.7165532879818595
110100014968,0.10657596371882086
110100016420,0.16134453781512606
110100016422,0.0
110100018261,0.5903250188964475
110100035666,0.08616780045351474
110100073025,0.4444444444444444
110100073927,0.9138321995464853
110100116029,0.10204081632653061
110100133766,0.12244897959183673
110100171523,0.1383219954648526
110100173226,0.18958086965302628
110100218469,0.23356009070294784
110100235669,0.015873015873015872
110100316927,0.018140589569160998
110100335267,0.022675736961451247
110100371520,0.18820861678004536
110100373224,0.1292517006802721
110100412425,0.1961451247165533
110100418260,0.027210884353741496
110100418567,0.32491695138065163
110100471522,0.011337868480725623
110100471527,0.04081632653061224
110100473324,0.1564625850340136
110100512827,0.18820861678004536
110100514267,0.08390022675736962
110100516521,0.3401360544217687
110100516723,0.14512471655328799
110100516929,0.7777777777777778
110100535662,0.013443472627146097
110100573222,0.4580498866213152
110100573627,0.006802721088435374
110100614362,0.1383219954648526
110100614562,0.8095238095238095
110100618862,0.022675736961451247
110100635761,0.15192743764172337
110100673622,0.35147392290249435
110100673828,0.04081632653061224
110100735369,0.09750566893424037
110100816922,0.13378684807256236
110100818367,0.1851226245678763
110100835466,0.08163265306122448
110100835868,0.1292517006802721
110100871522,0.4126984126984127
110100873722,0.1360544217687075
110100933760,0.2698412698412698
110100973525,0.09070294784580499
110101018063,0.15419501133786848
110101018362,0.13151927437641722
110101035263,0.06349206349206349
110101071220,0.11791383219954649
110101071222,0.045351473922902494
110101071527,0.006802721088435374
110101073025,0.009070294784580499
110101073225,0.6780045351473923
110101073822,0.018140589569160998
110101112320,0.15419501133786848
110101114064,0.3310657596371882
110101114660,0.24489795918367346
110101118361,0.006802721088435374
110101135467,0.015873015873015872
110101173725,0.047619047619047616
110101210069,0.26077097505668934
110101212223,0.02040816326530612
110101215122,0.11337868480725624
110101216420,0.11337868480725624
110101216527,0.36054421768707484
110101216821,0.006802721088435374
110101217027,0.8299319727891157
110101217820,0.061224489795918366
110101217824,0.7709750566893424
110101218861,0.8208616780045351
110101233064,0.3922902494331066
110101273629,0.20408163265306123
110101273724,0.09977324263038549
110101273826,0.03854875283446712
110101273925,0.09070294784580499
110101312122,0.28798185941043086
110101314164,0.16099773242630386
110101316227,0.272108843537415
110101316624,0.5306122448979592
110101335164,0.04081632653061224
110101335961,0.022675736961451247
110101373120,0.2494331065759637
110101373626,0.013605442176870748
110101410927,0.5691609977324263
110101416523,0.2222222222222222
110101416629,0.4965986394557823
110101418269,0.3786848072562358
110101418763,0.15192743764172337
110101433762,0.21541950113378686
110101435165,0.05895691609977324
110101435360,0.031746031746031744
110101435465,0.2947845804988662
110101471226,0.1473922902494331
110101473623,0.08843537414965986
110101512925,0.22448979591836735
110101516227,0.018140589569160998
110101516323,0.08843537414965986
110101518360,0.034013605442176874
110101518560,0.1292517006802721
110101535968,0.034013605442176874
110101610427,0.12244897959183673
110101610625,0.1292517006802721
110101610760,0.23809523809523808
110101610768,0.22448979591836735
110101612027,0.17006802721088435
110101612064,0.07482993197278912
110101615728,0.0022675736961451248
110101615828,0.04308390022675737
110101615925,0.23129251700680273
110101616227,0.045351473922902494
110101616427,0.015873015873015872
110101616628,0.1473922902494331
110101616762,0.05668934240362812
110101616863,0.013605442176870748
110101616867,0.0045351473922902496
110101616966,0.015873015873015872
110101617522,0.009070294784580499
110101618860,0.29931972789115646
110101618964,0.02947845804988662
110101618967,0.14058956916099774
110101673221,0.3922902494331066
