userid,orderType
100000000371,0.025
100000001215,0.275
100000001445,0.105
100000001575,0.875
100000001601,0.425
100000001737,0.805
100000001829,0.16
100000002055,0.135
100000002241,0.11
100000003067,0.105
100000004161,0.775
100000004307,0.035
100000004855,0.75
100000005055,0.23
100000005701,0.275
100000006247,0.1
100000006327,0.16
100000006333,0.09
100000006397,0.275
100000007397,0.36
100000007525,0.35
100000007951,0.065
100000007955,0.075
100000008131,0.215
100000008427,0.245
100000008745,0.24
100000009049,0.15
100000009197,0.025
100000009419,0.135
100000009629,0.2
100000009961,0.775
100000010157,0.775
100000011403,0.04
100000012993,0.165
100000013089,0.355
100000013205,0.185
100000013455,0.235
100000013591,0.155
100000013861,0.46
100000014191,0.36
100000014963,0.245
100000015053,0.095
100000015077,0.895
100000015351,0.205
100000015659,0.79
100000016411,0.025
100000016637,0.015
100000016665,0.21
100000016715,0.06
100000016843,0.05
100000017191,0.31
100000017255,0.3
100000017517,0.4
100000017533,0.03
100000018131,0.745
100000018141,0.31
100000018219,0.115
100000018439,0.27
100000018651,0.355
100000018843,0.235
100000019085,0.16
100000019503,0.21
100000019777,0.21
100000019831,0.135
100000019875,0.42
100000020599,0.255
100000020705,0.415
100000020839,0.11
100000021007,0.155
100000021741,0.23
100000023031,0.235
100000023341,0.105
100000023847,0.025
110020671228,0.735
110100014968,0.095
110100016420,0.1
110100016422,0.005
110100018261,0.52
110100035666,0.065
110100073025,0.65
110100073927,0.925
110100116029,0.15
110100133766,0.225
110100171523,0.265
110100173226,0.045
110100218469,0.19
110100235669,0.065
110100316927,0.04
110100335267,0.07
110100371520,0.27
110100373224,0.38
110100412425,0.255
110100418260,0.11
110100418567,0.5
110100471522,0.015
110100471527,0.215
110100473324,0.295
110100512827,0.2
110100514267,0.21
110100516521,0.37
110100516723,0.165
110100516929,0.83
110100535662,0.09
110100573222,0.45
110100573627,0.115
110100614362,0.285
110100614562,0.93
110100618862,0.145
110100635761,0.16
110100673622,0.525
110100673828,0.07
110100735369,0.265
110100816922,0.2
110100818367,0.025
110100835466,0.15
110100835868,0.295
110100871522,0.525
110100873722,0.35
110100933760,0.32
110100973525,0.165
110101018063,0.15
110101018362,0.105
110101035263,0.095
110101071220,0.195
110101071222,0.105
110101071527,0.075
110101073025,0.025
110101073225,0.655
110101073822,0.005
110101112320,0.17
110101114064,0.4
110101114660,0.275
110101118361,0.155
110101135467,0.12
110101173725,0.09
110101210069,0.33
110101212223,0.09
110101215122,0.185
110101216420,0.16
